,Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
212,lansoprazole,CYP2C19,Intermediate Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
213,lansoprazole,CYP2C19,Likely Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
214,lansoprazole,CYP2C19,Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
215,lansoprazole,CYP2C19,Indeterminate,None,None,None
216,omeprazole,CYP2C19,Ultrarapid Metabolizer,None,None,Increase starting daily dose by 100%. Daily dose may be given in divided doses. Monitor for efficacy.
217,omeprazole,CYP2C19,Rapid Metabolizer,None,None,Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.
218,omeprazole,CYP2C19,Normal Metabolizer,None,None,Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.
219,omeprazole,CYP2C19,Likely Intermediate Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
220,omeprazole,CYP2C19,Intermediate Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
221,omeprazole,CYP2C19,Likely Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
222,omeprazole,CYP2C19,Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
223,omeprazole,CYP2C19,Indeterminate,None,None,None
224,pantoprazole,CYP2C19,Ultrarapid Metabolizer,None,None,Increase starting daily dose by 100%. Daily dose may be given in divided doses. Monitor for efficacy.
225,pantoprazole,CYP2C19,Rapid Metabolizer,None,None,Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.
226,pantoprazole,CYP2C19,Normal Metabolizer,None,None,Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.
227,pantoprazole,CYP2C19,Likely Intermediate Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
228,pantoprazole,CYP2C19,Intermediate Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
229,pantoprazole,CYP2C19,Likely Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
230,pantoprazole,CYP2C19,Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
231,pantoprazole,CYP2C19,Indeterminate,None,None,None
232,dexlansoprazole,CYP2C19,Ultrarapid Metabolizer,None,None,Increase starting daily dose by 100%. Daily dose may be given in divided doses. Monitor for efficacy.
233,dexlansoprazole,CYP2C19,Rapid Metabolizer,None,None,Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.
234,dexlansoprazole,CYP2C19,Normal Metabolizer,None,None,Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses. Monitor for efficacy.
235,dexlansoprazole,CYP2C19,Likely Intermediate Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
236,dexlansoprazole,CYP2C19,Intermediate Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
237,dexlansoprazole,CYP2C19,Likely Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
238,dexlansoprazole,CYP2C19,Poor Metabolizer,None,None,"Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy."
239,dexlansoprazole,CYP2C19,Indeterminate,None,None,None
240,capecitabine,DPYD,Normal Metabolizer,None,None,"Based on genotype, there is no indication to change dose or therapy. Use label-recommended dosage and administration."
241,capecitabine,DPYD,Intermediate Metabolizer,None,None,Reduce starting dose by 50% followed by titration of dose based on toxicity or therapeutic drug monitoring (if available).
242,capecitabine,DPYD,Poor Metabolizer,None,None,Avoid use of 5-fluorouracil or 5-fluorouracil prodrug-based regimens.
243,fluorouracil,DPYD,Normal Metabolizer,None,None,"Based on genotype, there is no indication to change dose or therapy. Use label-recommended dosage and administration."
244,fluorouracil,DPYD,Intermediate Metabolizer,None,None,Reduce starting dose by 50% followed by titration of dose based on toxicity or therapeutic drug monitoring (if available).
245,fluorouracil,DPYD,Poor Metabolizer,None,None,Avoid use of 5-fluorouracil or 5-fluorouracil prodrug-based regimens.
246,hormonal contraceptives for systemic use,F5,Favorable Response,None,None,The guideline does not provide a recommendation for estrogen-containing contraceptives in patients who do not have the Factor V Leiden variant.
247,hormonal contraceptives for systemic use,F5,Unfavorable Response,None,None,"If the patient has a FAMILY HISTORY WITH A LOT OF THROMBOSIS, or has had a PREVIOUS THROMBOSIS: Advise the prescriber to avoid the use of contraceptives that contain oestrogens and prescribe a non-hormone contraceptive - such as a copper IUD - as an alternative. One could also opt for a progestogen-only contraceptive method, such as the depot injection, an IUD with levonorgestrel or an implant with etonogestrel. OTHER CASES: Advise the patient to avoid additional risk factors for thrombosis (obesity, smoking, etc.)."
248,peginterferon alfa-2a,IFNL3,Favorable Response,None,None,IMPLICATIONS FOR PEG-IFN ALPHA AND RBV: Approximately 70% chance for SVR after 48 weeks of treatment. Consider implications before initiating PEG-IFN alpha and RBV containing regimens. Approximately 90% chance for SVR after 24-48 weeks of treatment. IMPLICATIONS FOR PROTEASE INHIBITOR COMBINATIONS WITH PEG-IFN ALPHA AND RBV THERAPY: Approximately 80-90% of patients are eligible for shortened therapy (24-28 weeks vs. 48 weeks). Weighs in favor of using PEG-IFN alpha and RBV containing regimens.
249,peginterferon alfa-2a,IFNL3,Unfavorable Response,None,None,IMPLICATIONS FOR PEG-IFN ALPHA AND RBV: Approximately 30% chance for SVR after 48 weeks of treatment. Consider implications before initiating PEG-IFN alpha and RBV containing regimens. IMPLICATIONS FOR PROTEASE INHIBITOR COMBINATIONS WITH PEG-IFN ALPHA AND RBV THERAPY: Approximately 60% chance for SVR after 24-48 weeks of treatment. Approximately 50% of patients are eligible for shortened therapy (24-28 weeks). Consider implications before initiating PEG-IFN and RBV containing regimens.
250,peginterferon alfa-2a,IFNL3,Indeterminate,None,None,None
251,peginterferon alfa-2b,IFNL3,Favorable Response,None,None,IMPLICATIONS FOR PEG-IFN ALPHA AND RBV: Approximately 70% chance for SVR after 48 weeks of treatment. Consider implications before initiating PEG-IFN alpha and RBV containing regimens. Approximately 90% chance for SVR after 24-48 weeks of treatment. IMPLICATIONS FOR PROTEASE INHIBITOR COMBINATIONS WITH PEG-IFN ALPHA AND RBV THERAPY: Approximately 80-90% of patients are eligible for shortened therapy (24-28 weeks vs. 48 weeks). Weighs in favor of using PEG-IFN alpha and RBV containing regimens.
252,peginterferon alfa-2b,IFNL3,Unfavorable Response,None,None,IMPLICATIONS FOR PEG-IFN ALPHA AND RBV: Approximately 30% chance for SVR after 48 weeks of treatment. Consider implications before initiating PEG-IFN alpha and RBV containing regimens. IMPLICATIONS FOR PROTEASE INHIBITOR COMBINATIONS WITH PEG-IFN ALPHA AND RBV THERAPY: Approximately 60% chance for SVR after 24-48 weeks of treatment. Approximately 50% of patients are eligible for shortened therapy (24-28 weeks). Consider implications before initiating PEG-IFN and RBV containing regimens.
253,peginterferon alfa-2b,IFNL3,Indeterminate,None,None,None
254,ribavirin,IFNL3,Favorable Response,None,None,IMPLICATIONS FOR PEG-IFN ALPHA AND RBV: Approximately 70% chance for SVR after 48 weeks of treatment. Consider implications before initiating PEG-IFN alpha and RBV containing regimens. Approximately 90% chance for SVR after 24-48 weeks of treatment. IMPLICATIONS FOR PROTEASE INHIBITOR COMBINATIONS WITH PEG-IFN ALPHA AND RBV THERAPY: Approximately 80-90% of patients are eligible for shortened therapy (24-28 weeks vs. 48 weeks). Weighs in favor of using PEG-IFN alpha and RBV containing regimens.
255,ribavirin,IFNL3,Unfavorable Response,None,None,IMPLICATIONS FOR PEG-IFN ALPHA AND RBV: Approximately 30% chance for SVR after 48 weeks of treatment. Consider implications before initiating PEG-IFN alpha and RBV containing regimens. IMPLICATIONS FOR PROTEASE INHIBITOR COMBINATIONS WITH PEG-IFN ALPHA AND RBV THERAPY: Approximately 60% chance for SVR after 24-48 weeks of treatment. Approximately 50% of patients are eligible for shortened therapy (24-28 weeks). Consider implications before initiating PEG-IFN and RBV containing regimens.
256,ribavirin,IFNL3,Indeterminate,None,None,None
257,azathioprine,NUDT15,Normal Metabolizer,TPMT,Normal Metabolizer,"Start with normal starting dose (e.g., 2-3 mg/kg/day) and adjust doses of azathioprine based on disease-specific guidelines. Allow 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506)."
258,azathioprine,NUDT15,Normal Metabolizer,TPMT,Possible Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
259,azathioprine,NUDT15,Normal Metabolizer,TPMT,Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
260,azathioprine,NUDT15,Normal Metabolizer,TPMT,Poor Metabolizer,"For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776)."
261,azathioprine,NUDT15,Normal Metabolizer,TPMT,Indeterminate,"Based on NUDT15, start with normal starting dose (e.g., 2-3 mg/kg/day) and adjust doses of azathioprine based on disease-specific guidelines. Allow 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
262,azathioprine,NUDT15,Normal Metabolizer,TPMT,None,"Based on NUDT15, start with normal starting dose (e.g., 2-3 mg/kg/day) and adjust doses of azathioprine based on disease-specific guidelines. Allow 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506). TPMT genotype is not available. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
263,azathioprine,NUDT15,Intermediate Metabolizer,TPMT,Normal Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
264,azathioprine,NUDT15,Intermediate Metabolizer,TPMT,Possible Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
265,azathioprine,NUDT15,Intermediate Metabolizer,TPMT,Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
266,azathioprine,NUDT15,Intermediate Metabolizer,TPMT,Poor Metabolizer,"For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776)."
267,azathioprine,NUDT15,Intermediate Metabolizer,TPMT,Indeterminate,"Based on NUDT15 status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
268,azathioprine,NUDT15,Intermediate Metabolizer,TPMT,None,"Based on NUDT15 status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). TPMT genotype is not available. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
269,azathioprine,NUDT15,Possible Intermediate Metabolizer,TPMT,Normal Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
270,azathioprine,NUDT15,Possible Intermediate Metabolizer,TPMT,Possible Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
271,azathioprine,NUDT15,Possible Intermediate Metabolizer,TPMT,Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532)."
272,azathioprine,NUDT15,Possible Intermediate Metabolizer,TPMT,Poor Metabolizer,"For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776)."
273,azathioprine,NUDT15,Possible Intermediate Metabolizer,TPMT,Indeterminate,"Based on NUDT15 status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
274,azathioprine,NUDT15,Possible Intermediate Metabolizer,TPMT,None,"Based on NUDT15 status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). TPMT genotype is not available. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
275,azathioprine,NUDT15,Poor Metabolizer,TPMT,Normal Metabolizer,"For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignant conditions, start with drastically reduced normal daily doses (reduce daily dose by 10-fold) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776)."
276,azathioprine,NUDT15,Poor Metabolizer,TPMT,Possible Intermediate Metabolizer,"For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignant conditions, start with drastically reduced normal daily doses (reduce daily dose by 10-fold) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776)."
277,azathioprine,NUDT15,Poor Metabolizer,TPMT,Intermediate Metabolizer,"For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignant conditions, start with drastically reduced normal daily doses (reduce daily dose by 10-fold) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776)."
278,azathioprine,NUDT15,Poor Metabolizer,TPMT,Poor Metabolizer,"For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776)."
279,azathioprine,NUDT15,Poor Metabolizer,TPMT,Indeterminate,"Based on NUDT15 status, for non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignant conditions, start with drastically reduced normal daily doses (reduce daily dose by 10-fold) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
280,azathioprine,NUDT15,Poor Metabolizer,TPMT,None,"Based on NUDT15 status, for non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignant conditions, start with drastically reduced normal daily doses (reduce daily dose by 10-fold) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776). TPMT genotype is not available. Consider evaluating erythrocyte TPMT activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
281,azathioprine,NUDT15,Indeterminate,TPMT,Normal Metabolizer,"Based on TPMT status, start with normal starting dose (e.g., 2-3 mg/kg/day) and adjust doses of azathioprine based on disease-specific guidelines. Allow 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506). NUDT15 status could not be determined based on genotyping. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
282,azathioprine,NUDT15,Indeterminate,TPMT,Possible Intermediate Metabolizer,"Based on TPMT status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). NUDT15 phenotype could not be assigned based on genotyping. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
283,azathioprine,NUDT15,Indeterminate,TPMT,Intermediate Metabolizer,"Based on TPMT status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). NUDT15 phenotype could not be assigned based on genotyping. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
284,azathioprine,NUDT15,Indeterminate,TPMT,Poor Metabolizer,"Based on TPMT status, for non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776). NUDT15 status could not be determined based on genotyping. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
285,azathioprine,NUDT15,Indeterminate,TPMT,Indeterminate,"Neither TPMT or NUDT15 phenotype could be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
286,azathioprine,NUDT15,Indeterminate,TPMT,None,"NUDT15 phenotype could not be assigned based on genotyping performed and no TPMT genotype is available. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
287,azathioprine,NUDT15,None,TPMT,Normal Metabolizer,"Based on TPMT status, start with normal starting dose (e.g., 2-3 mg/kg/day) and adjust doses of azathioprine based on disease-specific guidelines. Allow 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506). NUDT15 genotype is not available. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
288,azathioprine,NUDT15,None,TPMT,Possible Intermediate Metabolizer,"Based on TPMT status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). NUDT15 genotype is not available. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
289,azathioprine,NUDT15,None,TPMT,Intermediate Metabolizer,"Based on TPMT status, start with reduced starting doses (30%-80% of normal dose) if normal starting dose is 2-3 mg/kg/day (e.g., 0.6 - 2.4 mg/kg/day), and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment (PMID 20354201, 11302950, 15606506, 16530532). NUDT15 genotype is not available. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
290,azathioprine,NUDT15,None,TPMT,Poor Metabolizer,"Based on TPMT status, for non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy. For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and dose thrice weekly instead of daily) and adjust doses of azathioprine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment (PMID 16530578, 11302950, 15606506, 16530532, 12477776). NUDT15 genotype is not available. If thiopurines are required and NUDT15 status is unknown, monitor closely for toxicity."
291,azathioprine,NUDT15,None,TPMT,Indeterminate,"TPMT phenotype could not be assigned based on genotyping performed and NUDT15 genotype is not available. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity."
292,azathioprine,NUDT15,None,TPMT,None,None
293,mercaptopurine,NUDT15,Normal Metabolizer,TPMT,Normal Metabolizer,"Start with normal starting dose (e.g., 75 mg/m2/day or 1.5 mg/kg/day) and adjust doses of mercaptopurine (and of any other myelosuppressive therapy) without any special emphasis on mercaptopurine compared to other agents. Allow at least 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 16401827, 11302950)."
294,mercaptopurine,NUDT15,Normal Metabolizer,TPMT,Possible Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is >= 75 mg/m2/day or >= 1.5 mg/kg/day (e.g. start at 22.5-60 mg/m2/day or 0.45-1.2 mg/kg/day) and adjust doses of mercaptopurine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing mercaptopurine over other agents (PMID 20354201,18685564, 8857546, 18987654, 20010622, 16401827, 11302950, 16530532, 9634537). If normal starting dose is already < 75 mg/m2/day or < 1.5 mg/kg/day, dose reduction may not be recommended."
295,mercaptopurine,NUDT15,Normal Metabolizer,TPMT,Intermediate Metabolizer,"Start with reduced starting doses (30%-80% of normal dose) if normal starting dose is >= 75 mg/m2/day or >= 1.5 mg/kg/day (e.g. start at 22.5-60 mg/m2/day or 0.45-1.2 mg/kg/day) and adjust doses of mercaptopurine based on degree of myelosuppression and disease-specific guidelines. Allow 2-4 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, and depending on other therapy, emphasis should be on reducing mercaptopurine over other agents (PMID 20354201,18685564, 8857546, 18987654, 20010622, 16401827, 11302950, 16530532, 9634537). If normal starting dose is already < 75 mg/m2/day or < 1.5 mg/kg/day, dose reduction may not be recommended."
296,mercaptopurine,NUDT15,Normal Metabolizer,TPMT,Poor Metabolizer,"For malignancy, start with drastically reduced doses (reduce daily dose by 10-fold and reduce frequency to thrice weekly instead of daily, e.g., 10 mg/m2/day given just 3 days/week) and adjust doses of mercaptopurine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. If myelosuppression occurs, emphasis should be on reducing mercaptopurine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201, 1960624, 11302950, 16530532)."
297,mercaptopurine,NUDT15,Normal Metabolizer,TPMT,Indeterminate,"Based on NUDT15 status, start with normal starting dose (e.g., 75 mg/m2/day or 1.5 mg/kg/day) and adjust doses of mercaptopurine (and of any other myelosuppressive therapy) without any special emphasis on mercaptopurine compared to other agents. Allow at least 2 weeks to reach steady-state after each dose adjustment (PMID 20354201, 16401827, 11302950). TPMT phenotype could not be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and TPMT status is unknown, monitor closely for toxicity."
